inmate_id,booking_date
1721923,2017-11-01
1721924,2017-11-01
1721925,2017-11-01
1721926,2017-11-01
1721927,2017-11-01
1721928,2017-11-01
1721929,2017-11-01
1721930,2017-11-01
1721931,2017-11-01
1721932,2017-11-01
1721933,2017-11-01
1721934,2017-11-01
1721935,2017-11-01
1721936,2017-11-01
1721937,2017-11-01
1721938,2017-11-01
1721939,2017-11-01
1721940,2017-11-01
1721941,2017-11-01
1721942,2017-11-01
1721943,2017-11-01
1721944,2017-11-01
1721945,2017-11-01
1721946,2017-11-01
1721947,2017-11-01
1721948,2017-11-01
1721949,2017-11-01
1721950,2017-11-01
1721951,2017-11-01
1721952,2017-11-01
1721953,2017-11-01
1721954,2017-11-01
1721955,2017-11-01
1721956,2017-11-01
1721957,2017-11-01
1721958,2017-11-01
1721959,2017-11-01
1721960,2017-11-01
1721961,2017-11-01
1721962,2017-11-01
1721963,2017-11-01
1721964,2017-11-01
1721965,2017-11-01
1721966,2017-11-01
1721967,2017-11-01
1721968,2017-11-01
1721969,2017-11-01
1721970,2017-11-01
1721971,2017-11-01
1721972,2017-11-01
1721973,2017-11-01
1721974,2017-11-01
1721975,2017-11-01
1721976,2017-11-01
1721977,2017-11-01
1721978,2017-11-01
1721979,2017-11-01
1721980,2017-11-02
1721981,2017-11-02
1721982,2017-11-02
1721983,2017-11-02
1721984,2017-11-02
1721985,2017-11-02
1721986,2017-11-02
1721987,2017-11-02
1721988,2017-11-02
1721989,2017-11-02
1721990,2017-11-02
1721991,2017-11-02
1721992,2017-11-02
1721993,2017-11-02
1721994,2017-11-02
1721995,2017-11-02
1721996,2017-11-02
1721997,2017-11-02
1721998,2017-11-02
1721999,2017-11-02
1722000,2017-11-02
1722001,2017-11-02
1722002,2017-11-02
1722003,2017-11-02
1722004,2017-11-02
1722005,2017-11-02
1722006,2017-11-02
1722007,2017-11-02
1722008,2017-11-02
1722009,2017-11-02
1722010,2017-11-02
1722011,2017-11-02
1722012,2017-11-02
1722013,2017-11-02
1722014,2017-11-02
1722015,2017-11-02
1722016,2017-11-02
1722017,2017-11-02
1722018,2017-11-02
1722019,2017-11-02
1722020,2017-11-02
1722021,2017-11-02
1722022,2017-11-02
1722023,2017-11-02
1722024,2017-11-02
1722025,2017-11-02
1722026,2017-11-02
1722027,2017-11-02
1722028,2017-11-02
1722029,2017-11-02
1722030,2017-11-02
1722031,2017-11-02
1722032,2017-11-02
1722033,2017-11-02
1722034,2017-11-02
1722035,2017-11-02
1722036,2017-11-02
1722037,2017-11-02
1722038,2017-11-02
1722039,2017-11-02
1722040,2017-11-02
1722041,2017-11-02
1722042,2017-11-02
1722043,2017-11-02
1722044,2017-11-02
1722045,2017-11-02
1722046,2017-11-02
1722047,2017-11-02
1722048,2017-11-02
1722049,2017-11-02
1722050,2017-11-02
1722051,2017-11-02
1722052,2017-11-02
1722053,2017-11-02
1722054,2017-11-02
1722055,2017-11-02
1722056,2017-11-02
1722057,2017-11-02
1722058,2017-11-02
1722059,2017-11-02
1722060,2017-11-02
1722061,2017-11-02
1722062,2017-11-02
1722063,2017-11-02
1722064,2017-11-02
1722065,2017-11-02
1722066,2017-11-02
1722067,2017-11-02
1722068,2017-11-02
1722069,2017-11-02
1722070,2017-11-02
1722071,2017-11-02
1722072,2017-11-02
1722073,2017-11-02
1722074,2017-11-02
1722075,2017-11-02
1722076,2017-11-02
1722077,2017-11-02
1722078,2017-11-03
1722079,2017-11-02
1722080,2017-11-02
1722081,2017-11-02
1722082,2017-11-03
1722083,2017-11-03
1722084,2017-11-03
1722085,2017-11-03
1722086,2017-11-03
1722087,2017-11-03
1722088,2017-11-03
